N,W,G,max_err_sincos,rms_err_sincos,max_err_mag,max_err_phase_rad
18,19,5,1.180081e-05,3.945033e-06,5.915061e-06,1.447104e-05
18,20,5,9.839586e-06,3.332103e-06,2.798676e-06,1.106038e-05
18,21,5,7.989333e-06,3.198605e-06,1.531143e-06,8.779892e-06
18,22,5,8.055076e-06,3.139758e-06,6.564523e-07,7.972745e-06
18,23,5,7.803931e-06,3.125920e-06,3.464081e-07,7.974697e-06
18,24,5,7.693276e-06,3.127150e-06,1.977866e-07,7.607156e-06
19,12,5,8.079720e-04,3.105934e-04,6.751560e-04,9.305413e-04
19,13,5,4.008615e-04,1.585812e-04,4.553800e-04,3.103061e-04
19,14,5,2.010198e-04,7.264776e-05,1.674622e-04,2.318945e-04
19,15,5,1.045049e-04,4.000046e-05,9.500944e-05,1.298117e-04
19,16,5,4.493714e-05,1.806861e-05,4.865051e-05,6.006301e-05
19,17,5,2.516101e-05,9.317947e-06,2.506330e-05,3.210874e-05
19,18,5,1.474479e-05,4.955242e-06,1.261267e-05,1.791058e-05
19,19,5,8.836102e-06,2.962491e-06,5.915061e-06,1.084349e-05
19,20,5,6.024889e-06,1.986370e-06,3.042049e-06,7.451873e-06
19,21,5,4.515954e-06,1.687902e-06,1.552979e-06,5.376490e-06
19,22,5,4.240378e-06,1.605003e-06,6.564523e-07,4.727170e-06
19,23,5,3.989234e-06,1.580351e-06,3.464081e-07,4.013775e-06
19,24,5,3.878579e-06,1.573260e-06,2.142137e-07,3.862086e-06
20,12,5,8.856482e-04,3.149928e-04,6.971750e-04,9.305413e-04
20,13,5,4.039031e-04,1.600730e-04,4.553800e-04,3.103061e-04
20,14,5,2.010198e-04,7.290401e-05,1.674622e-04,2.318945e-04
20,15,5,9.879255e-05,3.996863e-05,9.500944e-05,1.298117e-04
20,16,5,4.602990e-05,1.810297e-05,4.865051e-05,5.781025e-05
20,17,5,2.462692e-05,9.270804e-06,2.506330e-05,3.076129e-05
20,18,5,1.264462e-05,4.716278e-06,1.344225e-05,1.506005e-05
20,19,5,6.997185e-06,2.643902e-06,5.250095e-06,9.209314e-06
20,20,5,3.989234e-06,1.403243e-06,3.042049e-06,5.612992e-06
20,21,5,3.149608e-06,1.002150e-06,1.555742e-06,3.588021e-06
20,22,5,2.413479e-06,8.565243e-07,6.564523e-07,2.867360e-06
20,23,5,2.081886e-06,8.023311e-07,3.528479e-07,2.258651e-06
20,24,5,1.977184e-06,7.923359e-07,2.142137e-07,2.000658e-06
