N,W,LUT,LUT_logic,LUT_mem,FF,CARRY4,DSP,BRAM,period_ns,WNS_ns,setup_fail,WHS_ns,hold_fail,constraints_met,Fmax_MHz
8,17,974,959,15,962,250,0,0,3.0,-0.236,108,-0.141,24,no,309.0
12,17,1248,1234,14,1235,319,0,0,3.0,-0.434,167,-0.141,7,no,291.2
15,17,1445,1431,14,1430,370,0,0,3.0,-0.644,284,-0.141,22,no,274.4
16,17,1511,1497,14,1496,388,0,0,3.0,-0.63,322,-0.202,17,no,275.5
20,17,1835,1821,14,1817,468,0,0,3.0,-0.681,435,-0.141,25,no,271.7
15,17,1432,1418,14,1430,370,0,0,4.0,0.092,0,-0.141,24,no,255.9
